club name,club description,club sponsor,club email,club recognition_year
Women's Rugby Club,"Oregon State Womxn’s Rugby is a university club sport that competes in the Division I Pacific Mountain Conference. We uphold strong traditions, promote camaraderie, value commitment, and support our community. Womxn’s Rugby accepts all womxn, of all skill and fitness levels, in hopes that they will strive for improvement. Our season runs from the beginning of fall term to the first weeks in spring term. We practice three times a week, and have games/tournaments on Saturdays. We travel all over Washington, Oregon, and California . Our goal is to build a highly competitive team that eventually becomes a varsity sport. We want to expand and encourage the rugby community, not only through the university level, but in High School and Senior Clubs as well. Above all else, Womxn’s Rugby believes in honoring the qualities that makes us extraordinary rugby players and extraordinary human beings.","Department Student Organization, Rec Sports/Sport Clubs",womens.rugby@oregonstate.edu,Recognized For: 2023/2024
Women's Soccer Club,"The Women's Soccer Club is a competitive club geared towards those who wish to continue playing soccer at a high level. We compete against other club teams on the West coast through league play in the fall and travel for tournaments in the winter and spring to places such as Southern California, Idaho, and Washington.","Department Student Organization, Rec Sports/Sport Clubs",womens.soccerclub@oregonstate.edu,Recognized For: 2023/2024
Women's Ultimate Disc Club,"Our club is a competitive but fun environment for all levels of ultimate frisbee. We compete in 2-3 events per term and train 3 times a week. We work hard and condition regularly, but our focus is on team spirit and having a great time!","Department Student Organization, Rec Sports/Sport Clubs",womens.ultimate@oregonstate.edu,Recognized For: 2023/2024
Women's Volleyball Club,"OSU Women's Club Volleyball provides undergraduate and graduate students an opportunity to play competitive volleyball, while focusing on their studies. We compete against other college club teams in tournaments throughout Oregon, Washington, and California, as well as at the NCVF Club Volleyball Nationals in April. Higher skilled and committed players will have the opportunity to play on the competitive traveling teams, while other players may join the club if they just want to practice and play. At the beginning of each year, the club will hold player skill assessments to determine each member's skill level. No longer a young club, we hope to continue the great participation of all of our student-athletes to grow into a more competitive team that we strive to achieve.","Department Student Organization, Rec Sports/Sport Clubs",womens.volleyball@oregonstate.edu,Recognized For: 2023/2024
Women's Water Polo Club,"OSU Women's Water Polo Club provides students the opportunity to learn and improve their water polo skills while also competing against other college club teams in the Northwest. Women's Water Polo welcomes players with different levels of experience, from players who have never played, to those with years of experience. It aims to be a fun, inclusive environment where students can not only improve their water polo skills but also make new friends.","Department Student Organization, Rec Sports/Sport Clubs",womens.waterpolo@oregonstate.edu,Recognized For: 2023/2024
"World Aquatic Veterinary Medical Association Student Chapter at Oregon State University,",Club in the College of Veterinary Medicine dedicated to advancing the education of veterinary students interested in pursuing opportunities in aquatic animal medicine.,"Voluntary Student Organization, Student Experiences & Engagement",AquaticVet.clubs@oregonstate.edu,Recognized For: 2023/2024
Wysteria at Oregon State (formerly Hip Hop Student Association),"Our goal is to build the Hip Hop community and provide an outlet for students to express themselves in the form of street style dances, with aspirations to include other aspects of Hip hop via its five principles (Peace, Unity, Love, Fun, and Knowledge), four main elements and its derivatives (Breaking, Emceeing, Graffiti, and DJing).","Voluntary Student Organization, Student Experiences & Engagement",wysteria.clubs@oregonstate.edu,Recognized For: 2023/2024
Young Democratic Socialists of America Corvallis,"Our mission is to educate and organize students and young working people in pursuit of a just, democratic, socialist society. We define democratic socialism as a state of society in which working people have control over their economic lives and all people enjoy democratic freedom and equality regardless of their community backgrounds or identities.","Voluntary Student Organization, Student Experiences & Engagement",DemSocialists.clubs@oregonstate.edu,Recognized For: 2023/2024
YouthMappers at Oregon State University,"The primary purpose of this organization is to address the intersection between the technical know-how of GIS and answering real world questions in fields like public health, climate science, and environmental health. The secondary purpose of this organization is to provide students sharing an interest in geographic information systems (GIS) with an environment and community within which they can discuss, learn, network, and further engage.","Voluntary Student Organization, Student Experiences & Engagement",youthmappers.clubs@oregonstate.edu,Recognized For: 2023/2024
Zoo Wildlife & Exotic Animal Medicine Club,"The purpose of our organization is to provide more opportunities for vet students to get zoo, wildlife, and exotic animal medicine experience.","Voluntary Student Organization, Student Experiences & Engagement",ZWE.clubs@oregonstate.edu,Recognized For: 2023/2024
